Omega,Amp1,Amp2
3.18778,0.04784707,0.00000144
3.18557,0.04899157,0.00000139
3.18337,0.04811363,0.00000158
3.18116,0.04935663,0.00000139
3.17896,0.04599402,0.00000097
3.17675,0.04984451,0.00000161
3.17455,0.05070278,0.00000192
3.17234,0.05265822,0.00000171
3.17014,0.05324163,0.00000186
3.16794,0.05196800,0.00000190
3.16573,0.04913647,0.00000136
3.16353,0.05481406,0.00000203
3.16132,0.05577718,0.00000250
3.15912,0.05555261,0.00000261
3.15691,0.05692216,0.00000259
3.15471,0.05498049,0.00000204
3.15251,0.05438842,0.00000202
3.15030,0.06040076,0.00000255
3.14810,0.06177999,0.00000311
3.14589,0.06243163,0.00000327
3.14369,0.06258127,0.00000331
3.14148,0.05774969,0.00000257
3.13928,0.06037638,0.00000315
3.13707,0.06663997,0.00000382
3.13487,0.06778098,0.00000435
3.13267,0.06787853,0.00000480
3.13046,0.06632761,0.00000426
3.12826,0.05952629,0.00000302
3.12605,0.06733232,0.00000488
3.12385,0.07369803,0.00000602
3.12164,0.07441203,0.00000662
3.11944,0.07628442,0.00000634
3.11723,0.07180733,0.00000511
3.11503,0.06687798,0.00000493
3.11283,0.07617572,0.00000777
3.11062,0.08213829,0.00000911
3.10842,0.08443891,0.00000951
3.10621,0.08183082,0.00000908
3.10401,0.07382846,0.00000654
3.10180,0.07981448,0.00000837
3.09960,0.08999224,0.00001277
3.09739,0.09479138,0.00001374
3.09519,0.09635195,0.00001417
3.09299,0.09051382,0.00001083
3.09078,0.08277233,0.00000901
3.08858,0.09738554,0.00001537
3.08637,0.10720053,0.00002135
3.08417,0.10988449,0.00002266
3.08196,0.10493360,0.00001980
3.07976,0.09344734,0.00001424
3.07756,0.10588999,0.00001891
3.07535,0.12222608,0.00003206
3.07315,0.12756856,0.00003687
3.07094,0.12549777,0.00003330
3.06874,0.11175497,0.00002219
3.06653,0.12202351,0.00002924
3.06433,0.14504426,0.00005402
3.06212,0.15240900,0.00006530
3.05992,0.14024369,0.00004550
3.05772,0.12920139,0.00003726
3.05551,0.16264368,0.00007555
3.05331,0.18219328,0.00011222
3.05110,0.16928413,0.00009100
3.04890,0.74438936,0.00769161
3.04669,0.69504515,0.00641178
3.04449,0.68269775,0.00612901
3.04228,0.67077622,0.00582687
3.04008,0.65844916,0.00558281
3.03788,0.64653539,0.00528925
3.03567,0.63426035,0.00505003
3.03347,0.62160424,0.00478079
3.03126,0.60892117,0.00452124
3.02906,0.59616206,0.00427104
3.02685,0.58327761,0.00402770
3.02465,0.56922053,0.00379061
3.02244,0.55641482,0.00353837
3.02024,0.54331443,0.00325309
3.01804,0.52775314,0.00307623
3.01583,0.51399251,0.00287923
3.01363,0.50190035,0.00261104
3.01142,0.48681596,0.00241335
3.00922,0.47210839,0.00227308
3.00701,0.45953267,0.00207671
3.00481,0.44469352,0.00188940
3.00261,0.42990922,0.00173428
3.00040,0.41634838,0.00157457
2.99820,0.40179599,0.00142150
2.99599,0.38728994,0.00127799
2.99379,0.37309492,0.00115238
2.99158,0.35871074,0.00103201
2.98938,0.34497710,0.00091694
2.98717,0.33132776,0.00081549
2.98497,0.31776951,0.00072332
2.98277,0.30437618,0.00063769
2.98056,0.29052148,0.00055864
2.97836,0.27817309,0.00049222
2.97615,0.26501266,0.00042190
2.97395,0.25254088,0.00036968
2.97174,0.24089475,0.00032274
2.96954,0.22940756,0.00027884
2.96733,0.22000020,0.00024493
2.96513,0.21138895,0.00021828
2.96293,0.20347930,0.00019405
2.96072,0.19608006,0.00017509
2.95852,0.18856103,0.00015604
2.95631,0.18114520,0.00013737
2.95411,0.17332664,0.00012191
2.95190,0.16580798,0.00010619
2.94970,0.15915133,0.00009406
2.94749,0.15404361,0.00008547
2.94529,0.14942039,0.00007718
2.94309,0.14486735,0.00007057
2.94088,0.13996988,0.00006388
2.93868,0.13494318,0.00005717
2.93647,0.13039922,0.00005094
2.93427,0.12585452,0.00004604
2.93206,0.12282422,0.00004248
2.92986,0.11925747,0.00003939
2.92766,0.11628847,0.00003610
2.92545,0.11286169,0.00003294
2.92325,0.10976210,0.00002968
2.92104,0.10619968,0.00002738
2.91884,0.10349469,0.00002501
2.91663,0.10149595,0.00002345
2.91443,0.09867708,0.00002196
2.91222,0.09671977,0.00001964
2.91002,0.09428820,0.00001840
2.90782,0.09158084,0.00001729
2.90561,0.08914117,0.00001602
2.90341,0.08652363,0.00001451
2.90120,0.08597028,0.00001158
2.89900,0.08444514,0.00001234
2.89679,0.08223100,0.00001219
2.89459,0.07923898,0.00001138
2.89238,0.07915901,0.00001005
2.89018,0.07765978,0.00000969
2.88798,0.07615968,0.00000949
2.88577,0.07471322,0.00000891
2.88357,0.07310175,0.00000838
2.88136,0.07175412,0.00000774
2.87916,0.07049153,0.00000733
2.87695,0.06930869,0.00000694
2.87475,0.06841428,0.00000657
2.87255,0.06723513,0.00000623
2.87034,0.06602336,0.00000591
2.86814,0.06481726,0.00000547
2.86593,0.06385673,0.00000520
2.86373,0.06295932,0.00000499
2.86152,0.06206138,0.00000474
2.85932,0.06107740,0.00000450
2.85711,0.06011708,0.00000427
2.85491,0.05912886,0.00000399
2.85271,0.05835535,0.00000384
2.85050,0.05758544,0.00000366
2.84830,0.05669161,0.00000347
2.84609,0.05595813,0.00000332
2.84389,0.05515470,0.00000315
2.84168,0.05428920,0.00000299
2.83948,0.05361349,0.00000286
2.83727,0.05295173,0.00000275
2.83507,0.05227124,0.00000264
2.83287,0.05156509,0.00000252
2.83066,0.05092417,0.00000238
2.82846,0.05027089,0.00000228
2.82625,0.04971055,0.00000220
2.82405,0.04912088,0.00000212
2.82184,0.04847734,0.00000203
2.81964,0.04795435,0.00000194
2.81743,0.04735024,0.00000186
2.81523,0.04667556,0.00000178
2.81303,0.04618492,0.00000172
2.81082,0.04574807,0.00000165
2.80862,0.04524674,0.00000159
2.80641,0.04474548,0.00000153
2.80421,0.04428094,0.00000145
2.80200,0.04371755,0.00000140
2.79980,0.04320354,0.00000134
2.79760,0.04275354,0.00000131
2.79539,0.04241272,0.00000126
2.79319,0.04191628,0.00000118
2.79098,0.04146465,0.00000118
2.78878,0.04107130,0.00000113
2.78657,0.04070180,0.00000108
2.78437,0.04024612,0.00000106
2.78216,0.03989895,0.00000101
2.77996,0.03953180,0.00000099
2.77776,0.03908317,0.00000094
2.77555,0.03875953,0.00000092
2.77335,0.03842757,0.00000089
2.77114,0.03804002,0.00000086
2.76894,0.03769648,0.00000083
2.76673,0.03735664,0.00000081
2.76453,0.03701418,0.00000078
2.76232,0.03667705,0.00000075
2.76012,0.03636866,0.00000073
2.75792,0.03606133,0.00000071
2.75571,0.03574759,0.00000069
2.75351,0.03541826,0.00000066
2.75130,0.03506967,0.00000064
2.74910,0.03476934,0.00000062
2.74689,0.03451927,0.00000061
2.74469,0.03422145,0.00000059
2.74248,0.03397563,0.00000057
2.74028,0.03367709,0.00000055
2.73808,0.03339260,0.00000054
2.73587,0.03311430,0.00000052
2.73367,0.03289635,0.00000051
2.73146,0.03264004,0.00000049
2.72926,0.03236111,0.00000048
2.72705,0.03209550,0.00000047
2.72485,0.03188768,0.00000046
2.72265,0.03164521,0.00000044
2.72044,0.03137735,0.00000043
2.71824,0.03113493,0.00000042
2.71603,0.03094509,0.00000041
2.71383,0.03064471,0.00000040
2.71162,0.03049530,0.00000039
2.70942,0.03021010,0.00000038
2.70721,0.03000516,0.00000036
2.70501,0.02978545,0.00000036
2.70281,0.02956650,0.00000035
2.70060,0.02921217,0.00000034
2.69840,0.02919762,0.00000033
2.69619,0.02879862,0.00000030
2.69399,0.02861688,0.00000032
2.69178,0.02856999,0.00000029
2.68958,0.02799628,0.00000030
2.68737,0.02823054,0.00000030
2.68517,0.02799438,0.00000027
2.68297,0.02782943,0.00000028
2.68076,0.02764730,0.00000027
2.67856,0.02742493,0.00000027
2.67635,0.02728019,0.00000026
2.67415,0.02714372,0.00000026
2.67194,0.02696714,0.00000025
2.66974,0.02676002,0.00000024
2.66754,0.02659409,0.00000024
2.66533,0.02645020,0.00000023
2.66313,0.02631025,0.00000023
2.66092,0.02613385,0.00000022
2.65872,0.02594680,0.00000022
2.65651,0.02582414,0.00000021
2.65431,0.02566874,0.00000021
2.65210,0.02551179,0.00000020
2.64990,0.02536397,0.00000020
2.64770,0.02520687,0.00000020
2.64549,0.02504701,0.00000019
2.64329,0.02491596,0.00000019
2.64108,0.02476396,0.00000018
2.63888,0.02461132,0.00000018
2.63667,0.02447827,0.00000018
2.63447,0.02435107,0.00000017
2.63226,0.02421716,0.00000017
2.63006,0.02402090,0.00000017
2.62786,0.02394222,0.00000016
2.62565,0.02380465,0.00000016
2.62345,0.02368981,0.00000016
2.62124,0.02353908,0.00000015
2.61904,0.02340366,0.00000015
2.61683,0.02329849,0.00000015
2.61463,0.02318482,0.00000015
2.61242,0.02305949,0.00000014
2.61022,0.02293229,0.00000014
2.60802,0.02280848,0.00000014
2.60581,0.02268821,0.00000013
2.60361,0.02256622,0.00000013
2.60140,0.02243536,0.00000013
2.59920,0.02231280,0.00000013
2.59699,0.02221145,0.00000013
2.59479,0.02210179,0.00000012
2.59259,0.02198678,0.00000012
2.59038,0.02187718,0.00000012
2.58818,0.02176813,0.00000012
2.58597,0.02166760,0.00000011
2.58377,0.02157841,0.00000011
2.58156,0.02145357,0.00000011
2.57936,0.02135782,0.00000011
2.57715,0.02124323,0.00000011
2.57495,0.02114183,0.00000010
2.57275,0.02105489,0.00000010
2.57054,0.02091658,0.00000010
2.56834,0.02086103,0.00000010
2.56613,0.02075122,0.00000010
2.56393,0.02065884,0.00000010
2.56172,0.02055362,0.00000009
2.55952,0.02047381,0.00000009
2.55731,0.02035497,0.00000009
2.55511,0.02026867,0.00000009
2.55291,0.02017041,0.00000009
2.55070,0.02008466,0.00000009
2.54850,0.02000564,0.00000009
2.54629,0.01991116,0.00000008
2.54409,0.01981155,0.00000008
2.54188,0.01971673,0.00000008
2.53968,0.01965313,0.00000008
2.53747,0.01956420,0.00000008
2.53527,0.01947387,0.00000008
2.53307,0.01938945,0.00000008
2.53086,0.01930077,0.00000008
2.52866,0.01923301,0.00000007
2.52645,0.01915454,0.00000007
2.52425,0.01906106,0.00000007
2.52204,0.01897259,0.00000007
2.51984,0.01883354,0.00000007
2.51764,0.01882962,0.00000007
2.51543,0.01844666,0.00000007
2.51323,0.01867141,0.00000007
2.51102,0.01844964,0.00000007
2.50882,0.01849062,0.00000006
2.50661,0.01843468,0.00000006
2.50441,0.01833586,0.00000006
2.50220,0.01829493,0.00000006
2.50000,0.01818666,0.00000006
